embedUrl,videoId,title,isIncluded,diagnostic,mention,prognostic,motivational_action,motivational_rationale
https://www.youtube.com/embed/N2w4spsYm_Q,:N2w4spsYm_Q,Oppo Reno 2 Vs Oneplus 7 Pro Camera Comparison | #TeamTrees,,,,,,
https://www.youtube.com/embed/eh3bxXHqF2U,:eh3bxXHqF2U,Making a Particle Detector (Cloud Chamber),,,,,,
https://www.youtube.com/embed/m7MOlhL6el4,:m7MOlhL6el4,#TeamTrees Custom Zombies LIVE! (ft. Zombie Vendetta),,,,,,
https://www.youtube.com/embed/xygBlTIv9U0,:xygBlTIv9U0,help us plant 20 MILLION trees! (#TeamTrees),,,,,,
https://www.youtube.com/embed/exoFrIJwwV0,:exoFrIJwwV0,Updating Trees to be USEFUL in Minecraft! (#TeamTrees),,,,,,
https://www.youtube.com/embed/l0YBsbXnoSo,:l0YBsbXnoSo,don't look at this video #TeamTrees,,,,,,
https://www.youtube.com/embed/CNGrx3oDO5U,:CNGrx3oDO5U,Every DEATH I plant 5 trees #teamtrees,,,,,,
https://www.youtube.com/embed/mwOOXLC23BE,:mwOOXLC23BE,Youtuberlar Dünya'yı Kurtarıyor!  #teamtrees,,,,,,
https://www.youtube.com/embed/SWPqQxz-7gg,:SWPqQxz-7gg,How Do Trees Grow? - Kids STEM #TeamTrees,,,,,,
https://www.youtube.com/embed/4CLxWDF4hOI,:4CLxWDF4hOI,"Playing ""Riddle School""! + #TeamTrees",,,,,,
https://www.youtube.com/embed/VqgpU84RC2I,:VqgpU84RC2I,Saving Minecraft ft. CallMeCarson #TeamTrees,,,,,,
https://www.youtube.com/embed/7WDZz3M_5G0,:7WDZz3M_5G0,send trees to mars 20milliontrees #teamtrees-SR2,,,,,,
https://www.youtube.com/embed/gIujYl56sJQ,:gIujYl56sJQ,Puggle Plants 20 Million Trees?! #TeamTrees 🌳,,,,,,
https://www.youtube.com/embed/8ZsHkUyxC5M,:8ZsHkUyxC5M,Not Exactly Team Trees Compliant... | r/MaliciousCompliance | #272,,,,,,
https://www.youtube.com/embed/l_F5lMpVbq0,:l_F5lMpVbq0,Stunkles joins #teamtrees,,,,,,
https://www.youtube.com/embed/yWWVLQx7huM,:yWWVLQx7huM,#TeamTrees! 1000 Pull Up Challenge in 20 Days! #3,,,,,,
https://www.youtube.com/embed/Dg1v4Yi9xN0,:Dg1v4Yi9xN0,Mokey's show-mr.tree #Team Trees dublado,,,,,,
https://www.youtube.com/embed/XlvQ6nqKKKE,:XlvQ6nqKKKE,Blue's New Superpower - #TeamTrees (TTS Dub),,,,,,
https://www.youtube.com/embed/HhceJ5xxl-4,:HhceJ5xxl-4,Live Stream #187: Fractal #TeamTrees with Physics,,,,,,
https://www.youtube.com/embed/oqvy5yXNLZU,:oqvy5yXNLZU,Why I donated to Team Trees (Fortnite) (4K),,,,,,
https://www.youtube.com/embed/MoAf9mnp8T4,:MoAf9mnp8T4,Let’s Talk Trees... #teamtrees to be exact,,,,,,
https://www.youtube.com/embed/_DF6nucQFOI,:_DF6nucQFOI,#TEAMTREES BIGGEST DONATIONS !UPDATE! | ELON MUSK - PEWDIEPIE - JEFFREE  STAR  | #MRBEAST20MILL,,,,,,
https://www.youtube.com/embed/k1TyDOwe67I,:k1TyDOwe67I,The Ultimate Mobile Miter Saw and Table Saw Work Bench! #TeamTrees,,,,,,
https://www.youtube.com/embed/Y7YLVMhMLi4,:Y7YLVMhMLi4,#TeamTrees,,,,,,
https://www.youtube.com/embed/_Xw9Av0mCcc,:_Xw9Av0mCcc,MrBeast Plants 10 Million Trees - #teamtrees - LIVE COUNTER,,,,,,
https://www.youtube.com/embed/sxz-xvr-7cs,:sxz-xvr-7cs,#أنيميشن || قصة الأشجار #TEAMTREES,,,,,,
https://www.youtube.com/embed/FuZmjR9t3fk,:FuZmjR9t3fk,Chillchief - Team Trees SONG!!,,,,,,
https://www.youtube.com/embed/AOWs0WN6aNQ,:AOWs0WN6aNQ,Raising an Army of Villagers in Minecraft Hardcore Mode (S2E3),,,,,,
https://www.youtube.com/embed/ei4AoxZsA0M,:ei4AoxZsA0M,"اغاني فارسي جديد عشق يعني  رميكس
2020#TeamTrees",,,,,,
https://www.youtube.com/embed/IgGuIOGB2PI,:IgGuIOGB2PI,Filmprijzen voor Binti en Kapsalon Romy,,,,,,
https://www.youtube.com/embed/ApVXTZ--UTU,:ApVXTZ--UTU,#TEAMTREES #PLANTYKINDNESSPROJECT & GIVEAWAY 🌲💚,,,,,,
https://www.youtube.com/embed/mtcuoF6_qWw,:mtcuoF6_qWw,Streaming Call of Duty For #TeamTrees | 75% of the donations go to Team Trees,,,,,,
https://www.youtube.com/embed/tbXBEd7PL9A,:tbXBEd7PL9A,Satellites You Can Use For FREE!  #teamtrees,,,,,,
https://www.youtube.com/embed/BnQXER2G8ok,:BnQXER2G8ok,Copying Mr Beast for 24 hours! #TeamTrees,,,,,,
https://www.youtube.com/embed/CJ-HVyJKwwk,:CJ-HVyJKwwk,Shaving My Beard For Mr. Beast! Gamers For #TeamTrees,,,,,,
https://www.youtube.com/embed/nJk3wg_kQlM,:nJk3wg_kQlM,#TeamTrees (Blip),,,,,,
https://www.youtube.com/embed/04_IFxWohLI,:04_IFxWohLI,Planting 6696 trees in Roblox | #teamtrees,,,,,,
https://www.youtube.com/embed/qvSqdiW0Jl0,:qvSqdiW0Jl0,A chaque KILL sur FORTNITE je plante 10 ARBRES !,,,,,,
https://www.youtube.com/embed/mkWW4Q2Y6aI,:mkWW4Q2Y6aI,FORTNITE BUSHRANGER ITEM SHOP VOTE #TeamTREES *RIGHT NOW* (Make sure to Vote #TeamTrees),,,,,,
https://www.youtube.com/embed/PJg3LIbtQ7Q,:PJg3LIbtQ7Q,TeamTrees,,,,,,
https://www.youtube.com/embed/YwqcsYLCGyI,:YwqcsYLCGyI,Las Cuatro Estaciones de Vivaldi: ¿A qué suena un granjero borracho? |  (#TeamTrees),,,,,,
https://www.youtube.com/embed/WP00kVLoy7A,:WP00kVLoy7A,Team Trees,,,,,,
https://www.youtube.com/embed/cNl4960ZOjU,:cNl4960ZOjU,Arduino #TeamTrees Live Counter,,,,,,
https://www.youtube.com/embed/HhlX9XjZ2dM,:HhlX9XjZ2dM,WHO CAN MAKE THE MOST MONEY IN 24 HOURS (#teamtrees CHALLENGE),,,,,,
https://www.youtube.com/embed/ps7mfV71fps,:ps7mfV71fps,Roblox Five Nights at Freddys Mr Beast #TEAMTREE Fundraiser awareness video!,,,,,,
https://www.youtube.com/embed/yLKn0BjHm3c,:yLKn0BjHm3c,r/NoahGetTheBoat - CURSED TEAM TREES,,,,,,
https://www.youtube.com/embed/tPqwtz3gz_I,:tPqwtz3gz_I,Mokey's Show - Painful Christmas,,,,,,
https://www.youtube.com/embed/_yKFJm75qO0,:_yKFJm75qO0,Planting 20 MILLION TREES IN PRISON ARCHITECT SIMULATOR -  #TeamTrees + game exploit = Profit??,,,,,,
https://www.youtube.com/embed/B4tfjOfa63Q,:B4tfjOfa63Q,5 Pokemon Made *WORSE* in Pokemon Sword & Shield,,,,,,
https://www.youtube.com/embed/GbetzV4l4CY,:GbetzV4l4CY,Trees #TeamTrees,,,,,,
