VIDEO_URL,enbang_tag,Cat_tag,mw1,mw2,mw3,final_tagging
https://www.youtube.com/embed/s7ijm8YOdSU?autoplay=0,live_stream_stat,spread_word,live_stream_stat,not_recognized,comment_news,comment_news
https://www.youtube.com/embed/0hVZOJCYBBM?autoplay=0,comment_news,spread_word,spread_word,not_recognized,live_stream_stat,comment_news
https://www.youtube.com/embed/lHsymdFIu0U?autoplay=0,live_stream_stat,live_stream_stat,live_stream_stat,comment_news,spread_word,live_stream_stat
https://www.youtube.com/embed/m_IcLoPpwQs?autoplay=0,donating,knowledge,donating,spread_word,knowledge,spread_word
https://www.youtube.com/embed/l9q22egaqGY?autoplay=0,theme_creation_performance,theme_creation_performance,theme_creation_performance,spread_word,not_recognized,theme_creation_performance
https://www.youtube.com/embed/Zf1bUJZNWY0?autoplay=0,comment_video,comment_video,spread_word,donating,comment_news,comment_video
https://www.youtube.com/embed/gfwX5niNBdY?autoplay=0,theme_creation_object,theme_creation_object,knowledge,theme_creation_object,spread_word,theme_creation_object
https://www.youtube.com/embed/D5U2zMXfabc?autoplay=0,theme_creation_performance,theme_creation_performance,live_stream_game,spread_word,theme_creation_performance,theme_creation_performance
https://www.youtube.com/embed/PeyYmhPcOiY?autoplay=0,comment_video,donating,donating,spread_word,comment_news,comment_news
https://www.youtube.com/embed/1p-0iUf-A9Q?autoplay=0,spread_word,spread_word,theme_creation_performance,comment_news,knowledge,spread_word
https://www.youtube.com/embed/2HkecNkioOA?autoplay=0,theme_creation_performance,spread_word,theme_creation_performance,comment_news,spread_word,spread_word
https://www.youtube.com/embed/LTg_J93Queo?autoplay=0,spread_word,theme_creation_object,spread_word,planting_trees,theme_creation_performance,spread_word
https://www.youtube.com/embed/fCCK9nHUuCE?autoplay=0,spread_word,spread_word,not_recognized,spread_word,donating,spread_word
https://www.youtube.com/embed/3KMP6YRY60U?autoplay=0,live_stream_game,theme_creation_object,theme_creation_performance,live_stream_game,not_recognized,not_recognized
https://www.youtube.com/embed/8nrj_06W06c?autoplay=0,live_stream_game,theme_creation_object,theme_creation_performance,spread_word,live_stream_game,spread_word
https://www.youtube.com/embed/Q46iP7Ox7Vs?autoplay=0,comment_video,comment_video,comment_news,comment_video,theme_creation_performance,comment_video
https://www.youtube.com/embed/gfqDmQGvSVk?autoplay=0,spread_word,spread_word,comment_news,knowledge,spread_word,spread_word
https://www.youtube.com/embed/W_qq8nUqwYg?autoplay=0,not_recognized,spread_word,live_stream_game,knowledge,spread_word,spread_word
https://www.youtube.com/embed/W5u2HCxsxjM?autoplay=0,not_recognized,theme_creation_performance,comment_news,not_recognized,spread_word,spread_word
https://www.youtube.com/embed/AYo5-OkjSk0?autoplay=0,theme_creation_object,theme_creation_performance,spread_word,not_recognized,planting_trees,theme_creation_object
https://www.youtube.com/embed/VqgpU84RC2I?autoplay=0,live_stream_game,donating,live_stream_game,theme_creation_performance,spread_word,donating
https://www.youtube.com/embed/F5-Mv4ZO3fk?autoplay=0,spread_word,spread_word,not_recognized,theme_creation_object,spread_word,spread_word
https://www.youtube.com/embed/SNdtMjkRVrU?autoplay=0,theme_creation_performance,theme_creation_object,knowledge,live_stream_game,theme_creation_object,theme_creation_object
