embedUrl,commentId,channelId,videoId,authorDisplayName,authorChannelId,likeCount,publishedAt,totalReplyCount,textDisplay
https://www.youtube.com/embed/GgMNoFlK5-g,Ugy0HfSb0PozteiVQct4AaABAg,UCkHUVjCwBJIRmV_8cFlx0qQ,:GgMNoFlK5-g,Derek Lambert,UCkHUVjCwBJIRmV_8cFlx0qQ,0,2019-11-28T05:31:43Z,0,If you are or a loved one  is struggling  with drugs or alcohol text me immediately. I&#39;m here to help (509) 866-6710
https://www.youtube.com/embed/GgMNoFlK5-g,UgyOXkH_Yen-Q2MokJV4AaABAg,UCkHUVjCwBJIRmV_8cFlx0qQ,:GgMNoFlK5-g,Melissa Shadae’s Ascention,UCebLPHBifmvZuZoTqjk9_-Q,1,2019-11-30T18:55:05Z,0,"I’d much prefer listening to your music than this rap gibberish being broadcasted nowadays. Keep posting your music please, it’s so powerful because it’s opposes drug glamorization. ❤️❤️❤️go ahead on Derek!!!"
https://www.youtube.com/embed/GgMNoFlK5-g,UgwU1LYcDaGhaxbGdp54AaABAg,UCkHUVjCwBJIRmV_8cFlx0qQ,:GgMNoFlK5-g,Dr. B Addiction Recovery,UCNcMaWo7evcwxnQeErsFLmA,1,2019-11-13T05:50:30Z,0,Multi-talented!!
https://www.youtube.com/embed/GgMNoFlK5-g,UgznGn499qNlUGGikmt4AaABAg,UCkHUVjCwBJIRmV_8cFlx0qQ,:GgMNoFlK5-g,Tim Mc,UCso73V0vwi-cNZUbgPz5fTw,1,2019-11-09T19:27:46Z,0,Love this bro! Awesome!!!
https://www.youtube.com/embed/GgMNoFlK5-g,UgwfFTAjk-wOHktaifR4AaABAg,UCkHUVjCwBJIRmV_8cFlx0qQ,:GgMNoFlK5-g,A'dam Glass Ben YAHUAH,UCcuG_1A9e1YWVHvDXbbLnaw,0,2019-11-09T00:19:35Z,0,"Hey Derek. Appreciate the work that you do man. Hope you don&#39;t mind if I share this on my fb page? If, it helps even one, it&#39;s worth it. Thanks man. Much love from Singapore."
https://www.youtube.com/embed/GgMNoFlK5-g,UgzLbg1H32tjO4b8KG54AaABAg,UCkHUVjCwBJIRmV_8cFlx0qQ,:GgMNoFlK5-g,Robert Worton,UCRyy773chV25t5xmNXrogog,1,2019-11-08T03:23:08Z,0,Lyrics are dope bro
https://www.youtube.com/embed/GgMNoFlK5-g,Ugwnj_ys9iVluXJK9od4AaABAg,UCkHUVjCwBJIRmV_8cFlx0qQ,:GgMNoFlK5-g,Lab Girl,UC5l_L8Vks0OvOjQrWkEw8sA,1,2019-11-07T14:04:50Z,0,"Sounds really good. Great lyrics, beat, and heart. Also a big congratulations on your 4 yrs."
https://www.youtube.com/embed/GgMNoFlK5-g,UgyjdqwkY41AAB01sHh4AaABAg,UCkHUVjCwBJIRmV_8cFlx0qQ,:GgMNoFlK5-g,Joe,UCprvV8mlqljNQQndVAnmV4A,1,2019-11-06T16:20:06Z,0,This is sick wow
https://www.youtube.com/embed/GgMNoFlK5-g,Ugxcq46twbLHaC1eNsh4AaABAg,UCkHUVjCwBJIRmV_8cFlx0qQ,:GgMNoFlK5-g,FARecords,UC8GtvRK7OGO5bFsRxEegvBw,1,2019-11-06T15:22:00Z,0,"You reminded me of Eminem, too. Don&#39;t know if it&#39;s your voice that sounds similar or if it&#39;s the delivery, but it def reminded me of Eminem. Might be the anger, too."
https://www.youtube.com/embed/GgMNoFlK5-g,Ugzf19rb0yjwWwpNEQh4AaABAg,UCkHUVjCwBJIRmV_8cFlx0qQ,:GgMNoFlK5-g,Dannyboy \m/,UCueExrdEjg12Fgt2ysGnXKg,1,2019-11-06T05:11:41Z,0,Siiiiick bro. Big up from London city uk.
https://www.youtube.com/embed/GgMNoFlK5-g,UgyajZznHJtY2tz-VKR4AaABAg,UCkHUVjCwBJIRmV_8cFlx0qQ,:GgMNoFlK5-g,Katelyn Ingle,UCCLAPtrz1wOb8tWY4I5FXOw,1,2019-11-06T03:23:21Z,0,Really good! ❤️😘 good for you Derek!! Mess into message.
https://www.youtube.com/embed/GgMNoFlK5-g,UgxZf2IneCuwP2SxO1h4AaABAg,UCkHUVjCwBJIRmV_8cFlx0qQ,:GgMNoFlK5-g,Rico E,UCAvCwxHztFerf7gK4i-B96Q,1,2019-11-05T23:54:16Z,0,"People saying you sound like Em, but I don&#39;t think so, but I did feel the words you were saying, &amp; it&#39;s all facts! GREAT JOB , Thanks."
https://www.youtube.com/embed/GgMNoFlK5-g,Ugyht1P7t0THC2YSwot4AaABAg,UCkHUVjCwBJIRmV_8cFlx0qQ,:GgMNoFlK5-g,Frank Carrero,UCE5VWuWDyRM8-hNBNpuoJeQ,1,2019-11-05T22:28:56Z,0,Sober rap not bad keep up the good work of inspiring so many addicts.
https://www.youtube.com/embed/GgMNoFlK5-g,Ugy_knetVhuuZHjRqLR4AaABAg,UCkHUVjCwBJIRmV_8cFlx0qQ,:GgMNoFlK5-g,Dusty Undercover location,UCX6izVg_OBFHRA-o5-8FC_w,1,2019-11-05T21:59:50Z,0,That&#39;s awesome big D💯✔💞
https://www.youtube.com/embed/GgMNoFlK5-g,UgyqxjlNxZUl6QjO_g94AaABAg,UCkHUVjCwBJIRmV_8cFlx0qQ,:GgMNoFlK5-g,Buckles,UCsibXnLc88EyQVGFrt1lKwA,1,2019-11-05T19:48:49Z,0,.
https://www.youtube.com/embed/GgMNoFlK5-g,UgwOOdwfnDsnQk8IpWF4AaABAg,UCkHUVjCwBJIRmV_8cFlx0qQ,:GgMNoFlK5-g,Cory James,UCEY01A-fIoZnpkynB4tLLxA,1,2019-11-05T19:45:48Z,0,Straight 🔥
